frame,numero_pers,joint,x,y,tracking,est_joueur
9,0,21,1457.46,462.58,0,1
9,0,22,1257.37,459.524,0,1
9,0,23,1260.25,456.545,0,1
9,0,24,1307.27,450.853,0,1
10,0,0,1336.69,112.317,0,1
10,0,1,1351.5,168.314,0,1
10,0,2,1327.85,153.707,0,1
10,0,3,1269.08,135.878,0,1
10,0,4,1210.24,127.15,0,1
10,0,5,1375.04,174.241,0,1
10,0,6,1425.06,200.512,0,1
10,0,7,1472.18,224.196,0,1
10,0,8,1348.53,286.004,0,1
10,0,9,1330.86,288.828,0,1
10,0,10,1277.82,344.95,0,1
10,0,11,1301.38,436.241,0,1
10,0,12,1357.39,283.11,0,1
10,0,13,1404.5,368.376,0,1
10,0,14,1448.56,456.762,0,1
10,0,15,0,0,0,1
10,0,16,1348.51,109.407,0,1
10,0,17,0,0,0,1
10,0,18,1357.44,127.173,0,1
10,0,19,1413.27,474.359,0,1
10,0,20,1424.94,480.136,0,1
10,0,21,1463.27,462.578,0,1
10,0,22,1257.39,459.518,0,1
10,0,23,1260.26,453.815,0,1
10,0,24,1307.35,450.752,0,1
10,2,0,0,0,2,0
10,2,1,0,0,2,0
10,2,2,0,0,2,0
10,2,3,0,0,2,0
10,2,4,0,0,2,0
10,2,5,0,0,2,0
10,2,6,0,0,2,0
10,2,7,0,0,2,0
10,2,8,471.389,7.80092,2,0
10,2,9,462.638,7.79575,2,0
10,2,10,477.278,50.4853,2,0
10,2,11,500.765,103.524,2,0
10,2,12,480.23,7.79412,2,0
10,2,13,483.139,47.5624,2,0
10,2,14,500.784,103.394,2,0
10,2,15,0,0,2,0
10,2,16,0,0,2,0
10,2,17,0,0,2,0
10,2,18,0,0,2,0
10,2,19,497.921,106.519,2,0
10,2,20,500.79,106.441,2,0
10,2,21,503.676,106.455,2,0
10,2,22,500.854,106.568,2,0
10,2,23,503.69,106.593,2,0
10,2,24,500.904,106.592,2,0
11,0,0,1348.49,112.317,0,1
11,0,1,1357.37,159.498,0,1
11,0,2,1336.75,153.481,0,1
11,0,3,1280.78,133.071,0,1
11,0,4,1216.14,127.048,0,1
11,0,5,1378.02,174.002,0,1
11,0,6,1427.93,197.53,0,1
11,0,7,1478.07,221.162,0,1
11,0,8,1351.59,277.156,0,1
11,0,9,1336.78,277.182,0,1
11,0,10,1283.67,341.998,0,1
11,0,11,1304.43,436.035,0,1
11,0,12,1366.19,277.135,0,1
11,0,13,1416.14,362.647,0,1
11,0,14,1454.53,453.798,0,1
11,0,15,0,0,0,1
11,0,16,1354.31,106.619,0,1
11,0,17,0,0,0,1
11,0,18,1369.16,126.973,0,1
11,0,19,1419.18,468.451,0,1
11,0,20,1427.98,477.217,0,1
11,0,21,1469.16,459.621,0,1
11,0,22,1260.29,456.635,0,1
11,0,23,1263.24,447.889,0,1
11,0,24,1313.16,442.007,0,1
11,2,0,494.974,7.8101,2,0
11,2,1,500.871,7.77586,2,0
11,2,2,500.803,7.78744,2,0
11,2,3,0,0,2,0
11,2,4,0,0,2,0
11,2,5,489.103,7.79046,2,0
11,2,6,459.641,32.9535,2,0
11,2,7,453.773,47.5645,2,0
11,2,8,503.69,29.9357,2,0
11,2,9,503.689,32.8489,2,0
11,2,10,497.891,59.3528,2,0
11,2,11,503.833,100.432,2,0
11,2,12,503.732,29.9007,2,0
11,2,13,497.834,59.3227,2,0
11,2,14,503.798,97.5776,2,0
11,2,15,0,0,2,0
11,2,16,495,7.82717,2,0
11,2,17,0,0,2,0
11,2,18,497.908,7.82136,2,0
11,2,19,492.001,103.357,2,0
11,2,20,492.024,103.35,2,0
11,2,21,503.918,103.392,2,0
11,2,22,462.597,85.9518,2,0
11,2,23,462.638,85.9039,2,0
11,2,24,506.703,103.438,2,0
12,0,0,1351.44,106.523,0,1
12,0,1,1360.24,156.577,0,1
12,0,2,1336.77,150.695,0,1
12,0,3,1280.87,130.071,0,1
12,0,4,1219.04,121.177,0,1
12,0,5,1380.95,171.216,0,1
12,0,6,1433.84,194.651,0,1
12,0,7,1489.71,221.086,0,1
12,0,8,1354.52,274.259,0,1
12,0,9,1345.52,274.253,0,1
12,0,10,1283.82,341.843,0,1
12,0,11,1307.33,433.23,0,1
12,0,12,1374.91,274.242,0,1
12,0,13,1419.08,362.551,0,1
12,0,14,1463.27,450.799,0,1
12,0,15,0,0,0,1
12,0,16,1354.52,106.398,0,1
12,0,17,0,0,0,1
12,0,18,1374.94,124.123,0,1
12,0,19,1422.01,465.55,0,1
12,0,20,1433.85,474.284,0,1
12,0,21,1472.06,456.787,0,1
12,0,22,1266.06,453.792,0,1
12,0,23,1271.95,444.881,0,1
12,0,24,1321.96,439.037,0,1
12,3,0,0,0,3,0
12,3,1,0,0,3,0
12,3,2,0,0,3,0
12,3,3,0,0,3,0
12,3,4,0,0,3,0
12,3,5,0,0,3,0
12,3,6,0,0,3,0
12,3,7,0,0,3,0
12,3,8,7.79628,32.7052,3,0
12,3,9,7.8236,29.8406,3,0
12,3,10,7.80552,97.5747,3,0
12,3,11,7.78819,165.349,3,0
12,3,12,23.9803,29.9513,3,0
12,3,13,23.9906,97.6489,3,0
12,3,14,29.8348,168.29,3,0
12,3,15,0,0,3,0
12,3,16,0,0,3,0
12,3,17,0,0,3,0
12,3,18,0,0,3,0
12,3,19,35.9311,182.99,3,0
12,3,20,44.6145,177.147,3,0
12,3,21,0,0,3,0
12,3,22,0,0,3,0
12,3,23,0,0,3,0
12,3,24,7.79254,174.098,3,0
12,2,0,441.966,7.8095,2,0
12,2,1,477.298,7.80301,2,0
12,2,2,0,0,2,0
12,2,3,0,0,2,0
12,2,4,0,0,2,0
12,2,5,471.42,7.79564,2,0
12,2,6,456.815,41.7609,2,0
12,2,7,436.026,35.8267,2,0
12,2,8,0,0,2,0
12,2,9,0,0,2,0
12,2,10,0,0,2,0
12,2,11,0,0,2,0
12,2,12,0,0,2,0
12,2,13,0,0,2,0
12,2,14,0,0,2,0
12,2,15,0,0,2,0
12,2,16,0,0,2,0
12,2,17,0,0,2,0
12,2,18,456.746,7.83489,2,0
12,2,19,0,0,2,0
12,2,20,0,0,2,0
12,2,21,0,0,2,0
12,2,22,0,0,2,0
12,2,23,0,0,2,0
12,2,24,0,0,2,0
13,0,0,1351.46,106.562,0,1
13,0,1,1360.34,159.449,0,1
13,0,2,1342.6,153.499,0,1
13,0,3,1283.66,130.095,0,1
13,0,4,1221.92,121.136,0,1
13,0,5,1380.97,171.236,0,1
13,0,6,1430.99,194.71,0,1
13,0,7,1486.8,221.103,0,1
13,0,8,1354.53,277.144,0,1
13,0,9,1345.49,277.138,0,1
13,0,10,1283.85,341.879,0,1
13,0,11,1307.35,433.232,0,1
13,0,12,1374.95,277.127,0,1
13,0,13,1419.17,362.555,0,1
13,0,14,1463.32,450.854,0,1
13,0,15,0,0,0,1
13,0,16,1354.56,106.398,0,1
13,0,17,0,0,0,1
13,0,18,1375.06,124.139,0,1
13,0,19,1422.05,465.52,0,1
13,0,20,1433.91,471.469,0,1
13,0,21,1472.1,456.809,0,1
13,0,22,1266.14,453.796,0,1
13,0,23,1272.02,444.896,0,1
13,0,24,1322.02,439.045,0,1
13,3,0,0,0,3,0
13,3,1,0,0,3,0
13,3,2,0,0,3,0
13,3,3,0,0,3,0
13,3,4,0,0,3,0
13,3,5,0,0,3,0
13,3,6,0,0,3,0
13,3,7,0,0,3,0
13,3,8,7.79311,32.8346,3,0
13,3,9,7.82527,32.7444,3,0
13,3,10,7.80679,103.47,3,0
13,3,11,7.79511,165.355,3,0
13,3,12,26.9502,32.7691,3,0
13,3,13,26.99,103.474,3,0
13,3,14,32.6806,171.227,3,0
13,3,15,0,0,3,0
13,3,16,0,0,3,0
13,3,17,0,0,3,0
13,3,18,0,0,3,0
13,3,19,35.7859,185.893,3,0
13,3,20,41.7283,177.266,3,0
13,3,21,26.9626,177.023,3,0
13,3,22,6.33963,177.204,3,0
13,3,23,7.79036,174.217,3,0
13,3,24,7.7999,174.052,3,0
13,2,0,0,0,2,0
13,2,1,483.201,7.80583,2,0
13,2,2,480.267,7.81385,2,0
13,2,3,480.246,7.80052,2,0
13,2,4,0,0,2,0
13,2,5,477.334,7.81586,2,0
13,2,6,462.577,32.7716,2,0
13,2,7,456.629,41.7318,2,0
13,2,8,503.668,6.33514,2,0
13,2,9,503.667,6.35193,2,0
13,2,10,497.916,53.4088,2,0
13,2,11,506.655,94.7138,2,0
13,2,12,0,0,2,0
13,2,13,0,0,2,0
13,2,14,0,0,2,0
13,2,15,0,0,2,0
13,2,16,0,0,2,0
13,2,17,0,0,2,0
13,2,18,0,0,2,0
13,2,19,0,0,2,0
13,2,20,0,0,2,0
13,2,21,0,0,2,0
13,2,22,468.484,82.8925,2,0
13,2,23,468.494,82.8772,2,0
13,2,24,509.64,103.351,2,0
14,0,0,1351.47,106.614,0,1
